Handle;Title;Option1 Name;Option1 Value (Material);Option2 Name;Option2 Value (Farbe);Option3 Name;Option3 Value (Marke);SKU;Qty;Spalte1;Spalte2;Spalte3;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;dark green;Marke;Colido;COL-PLA-DGRÜ;0;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;orange;Marke;Colido;COL-PLA-OR;8;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;blau;Marke;Colido;COL-PLA-BL;13;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;cyan;Marke;Colido;COL-PLA-CY;0;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;fuchsia;Marke;Colido;COL-PLA-FU;5;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;lila;Marke;Colido;COL-PLA-LI;4;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;pink;Marke;Colido;COL-PLA-PI;11;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;grau;Marke;Colido;COL-PLA-GR;2;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;dunkel grau;Marke;Colido;COL-PLA-DGR;0;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;braun;Marke;Colido;COL-PLA-BR;2;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;silber;Marke;Colido;COL-PLA-SI;0;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;gold;Marke;Colido;COL-PLA-GO;5;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;skin;Marke;Colido;COL-PLA-SK;6;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;transparent blau;Marke;Colido;COL-PLA-TBL;1;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;transparent rot;Marke;Colido;COL-PLA-TRO;2;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;transparent gelb;Marke;Colido;COL-PLA-TGE;2;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;transparent grün;Marke;Colido;COL-PLA-TGR;1;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;navy blue;Marke;Colido;COL-PLA-NB;0;;;;;;
;;;;;;;;;;;;;;;
pla-175;PLA Filament 1.75mm;Material;PLA;Farbe;grün;Marke;Sunlu;SUN-PLA-GRÜ;0;4;;;;;
;;;;;;;;;;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;weiß;Marke;Geetech;GEE-PETG-WE;25;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;schwarz;Marke;Geetech;GEE-PETG-SW;28;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;rot;Marke;Geetech;GEE-PETG-RO;12;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;gelb;Marke;Geetech;GEE-PETG-GE;8;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;grün;Marke;Geetech;GEE-PETG-GRÜ;11;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;apfel grün;Marke;Geetech;GEE-PETG-AGRÜ;5;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;orange;Marke;Geetech;GEE-PETG-OR;7;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;blau;Marke;Geetech;GEE-PETG-BL;9;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;hell blau;Marke;Geetech;GEE-PETG-HB;10;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;lila;Marke;Geetech;GEE-PETG-LI;4;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;pink;Marke;Geetech;GEE-PETG-PI;9;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;grau;Marke;Geetech;GEE-PETG-GR;11;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;braun;Marke;Geetech;GEE-PETG-BR;7;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;transparent;Marke;Geetech;GEE-PETG-TR;10;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;silber;Marke;Geetech;GEE-PETG-SI;6;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;skin;Marke;Geetech;GEE-PETG-SK;3;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;metallic braun;Marke;Geetech;GEE-PETG-MBR;5;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;metallic grün;Marke;Geetech;GEE-PETG-MGRÜ;4;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;metallic pink;Marke;Geetech;GEE-PETG-MPI;5;;;;;;
;;;;;;;;;;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;weiß;Marke;Colido;COL-PETG-WE;1;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;schwarz;Marke;Colido;COL-PETG-SW;0;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;rot;Marke;Colido;COL-PETG-RO;3;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;gelb;Marke;Colido;COL-PETG-GE;0;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;grün;Marke;Colido;COL-PETG-GRÜ;2;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;orange;Marke;Colido;COL-PETG-OR;1;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;blau;Marke;Colido;COL-PETG-BL;0;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;cyan;Marke;Colido;COL-PETG-CY;0;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;fuchsia;Marke;Colido;COL-PETG-FU;0;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;lila;Marke;Colido;COL-PETG-LI;4;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;sakura pink;Marke;Colido;COL-PETG-PI;3;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;grau;Marke;Colido;COL-PETG-GR;0;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;dunkel grau;Marke;Colido;COL-PETG-DGR;0;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;braun;Marke;Colido;COL-PETG-BR;4;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;wood;Marke;Colido;COL-PETG-WO;0;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;regenbogen farbe;Marke;Colido;COL-PETG-RG;0;;;;;;
petg-175;PETG Filament 1.75mm;Material;PETG;Farbe;gold;Marke;Colido;COL-PETG-GO;0;;;;;;
